id_song,artist,title,url,Interprète,Auteurs,Compositeurs,Année
63,Annabelle,"Fuis, Lawrence d'Arabie","/fr/wiki/Fuis,_Lawrence_d%27Arabie",Annabelle,Jean-Paul Blanc / Jacques Lennoz,Jean-Paul Blanc / Jacques Lennoz,1987
64,Anthony Richard,À présent tu peux t'en aller,/fr/wiki/%C3%80_pr%C3%A9sent_tu_peux_t%27en_aller,Richard Anthony,"Mike Hawker, Ivor Raymonde (VO",,1964
65,Anthony Richard,Amoureux de ma femme,/fr/wiki/Amoureux_de_ma_femme,Richard Anthony,,,1974
66,Anthony Richard,J'entends siffler le train,/fr/wiki/J%27entends_siffler_le_train,Richard Anthony,,,1962
67,Anthony Richard,J'irai twister le blues,/fr/wiki/J%27irai_twister_le_blues,Richard Anthony,,,1962
68,Anthony Richard,Le sirop typhon,/fr/wiki/Le_sirop_typhon,Richard Anthony,,,1969
69,Anthony Richard,Nouvelle vague,/fr/wiki/Nouvelle_vague,Richard Anthony,,,1959
70,Antoine,Les élucubrations d'Antoine,/fr/wiki/Les_%C3%A9lucubrations_d%27Antoine,Antoine,,,1966
71,Antoine,Je l'appelle Canelle,/fr/wiki/Je_l%27appelle_Canelle,Antoine,,,1967
72,Antonn Kareen,Si demain (turn around),/fr/wiki/Si_demain_(turn_around),Bonnie Tyler & Kareen Antonn,,,2003
73,Arcadian,Folie arcadienne,/fr/wiki/Folie_arcadienne,Arcadian,,,2017
74,Arcadian,Les sables émouvants,/fr/wiki/Les_sables_%C3%A9mouvants,Arcadian,,,2018
75,Arcadian,Ton combat,/fr/wiki/Ton_combat,Arcadian,,,2017
76,Arena Tina,Aimer jusqu'à l'impossible,/fr/wiki/Aimer_jusqu%27%C3%A0_l%27impossible,Tina Arena,,,2005
77,Arena Tina,Aller plus haut,/fr/wiki/Aller_plus_haut,Tina Arena,,,1999
78,Arena Tina,Je m'appelle Bagdad,/fr/wiki/Je_m%27appelle_Bagdad,Tina Arena,,,2005
79,Armanet Juliette,À la folie,/fr/wiki/%C3%80_la_folie,Juliette Armanet,,,2017
80,Armanet Juliette,L'amour en solitaire,/fr/wiki/L%27amour_en_solitaire,Juliette Armanet,,,2017
81,Armanet Juliette,Le dernier jour du disco,/fr/wiki/Le_dernier_jour_du_disco,Juliette Armanet,,,2021
82,Armorica (Terre de pêcheurs),Du poisson,/fr/wiki/Du_poisson,Armonica,,,2005
83,Arnauld Carol,C'est pas facile,/fr/wiki/C%27est_pas_facile,Carol Arnauld,,,1986
84,Arno,Une chanson absurde,/fr/wiki/Une_chanson_absurde,Arno,,,2016
85,Art Mengo,Les parfums de sa vie,/fr/wiki/Les_parfums_de_sa_vie,Art Mengo,,,1988
86,Assia,Elle est à toi,/fr/wiki/Elle_est_%C3%A0_toi,Assia,,,2000
87,Au Bonheur des Dames,Oh les filles !,/fr/wiki/Oh_les_filles_!,Au bonheur des dames,,,1973
88,Au P'tit Bonheur,J'veux du soleil,/fr/wiki/J%27veux_du_soleil,Au p'tit bonheur,,,1991
89,Aubert Jean-Louis,Alter ego,/fr/wiki/Alter_ego,Jean-Louis Aubert,,,2001
90,Aubert Jean-Louis,Demain sera parfait,/fr/wiki/Demain_sera_parfait,Jean-Louis Aubert,,,2010
91,Aubert Jean-Louis,Du bonheur,/fr/wiki/Du_bonheur,Jean-Louis Aubert,,,2020
92,Aubert Jean-Louis,Juste une illusion,/fr/wiki/Juste_une_illusion,Jean-Louis Aubert,,,1987
93,Aubert Jean-Louis,Les plages,/fr/wiki/Les_plages,Jean-Louis Aubert,,,1987
94,Aubert Jean-Louis,Locataire,/fr/wiki/Locataire,Jean-Louis Aubert,,,1989
95,Aubert Jean-Louis,Parle-moi,/fr/wiki/Parle-moi_(Jean-Louis_Aubert),Jean-Louis Aubert,,,2005
96,Aubert Jean-Louis,Sur la route,/fr/wiki/Sur_la_route_(Rapha%C3%ABl_et_Jean-Louis_Aubert),Raphaël et Jean-Louis Aubert,,,2003
97,Aubert Jean-Louis,Temps à nouveau,/fr/wiki/Temps_%C3%A0_nouveau,Jean-Louis Aubert,,,1992
98,Aubert Jean-Louis,Voilà c'est fini,/fr/wiki/Voil%C3%A0_c%27est_fini,Jean-Louis Aubert,,,1989
99,Aubret Isabelle,C'est beau la vie,/fr/wiki/C%27est_beau_la_vie,Isabelle Aubret,Claude Delécluse - Michelle Senlis - Jean Ferrat,Claude Delécluse - Michelle Senlis - Jean Ferrat,1963
100,Aufray Hugues,Adieu Monsieur le professeur,/fr/wiki/Adieu_Monsieur_le_professeur,Hugues Aufray,,,1968
101,Aufray Hugues,Céline,/fr/wiki/C%C3%A9line,Hugues Aufray,,,1966
102,Aufray Hugues,Dès que le printemps revient,/fr/wiki/D%C3%A8s_que_le_printemps_revient,Hugues Aufray,,,1964
103,Aufray Hugues,Hasta luego,/fr/wiki/Hasta_luego,Hugues Aufray,,,1973
104,Aufray Hugues,L'épervier,/fr/wiki/L%27%C3%A9pervier,Hugues Aufray,,,1966
105,Aufray Hugues,Santiano,/fr/wiki/Santiano,Hugues Aufray,,,1961
106,Aufray Hugues,Stewball,/fr/wiki/Stewball,Hugues Aufray,,,1966
107,Aufray Hugues,Tchin tchin,/fr/wiki/Tchin_tchin,Hugues Aufray,,,1976
108,Ayna,On se connaît,/fr/wiki/On_se_conna%C3%AEt,Ayna ft. Youssoupha,,,2012
109,Aznavour Charles,Comme ils disent,/fr/wiki/Comme_ils_disent,Charles Aznavour,,,1972
110,Aznavour Charles,Désormais,/fr/wiki/D%C3%A9sormais,Charles Aznavour,,,1969
111,Aznavour Charles,Emmenez-moi,/fr/wiki/Emmenez-moi,Charles Aznavour,,,1968
112,Aznavour Charles,Et pourtant,/fr/wiki/Et_pourtant,Charles Aznavour,,,1963
113,Aznavour Charles,For me formidable,/fr/wiki/For_me_formidable,Charles Aznavour,,,1963
114,Aznavour Charles,Hier encore,/fr/wiki/Hier_encore,Charles Aznavour,,,1964
115,Aznavour Charles,Il faut savoir,/fr/wiki/Il_faut_savoir,Charles Aznavour,,,1961
116,Aznavour Charles,J'aime Paris au mois de mai,/fr/wiki/J%27aime_Paris_au_mois_de_mai,Charles Aznavour,,,1956
117,Aznavour Charles,Je m'voyais déjà,/fr/wiki/Je_m%27voyais_d%C3%A9j%C3%A0,Charles Aznavour,,,1961
118,Aznavour Charles,La bohème,/fr/wiki/La_boh%C3%A8me,Charles Aznavour,,,1965
119,Aznavour Charles,La mamma,/fr/wiki/La_mamma,Charles Aznavour,,,1963
